name,price,type,efficiency,wattage,modular
Silverstone SFX,153.59,SFX,platinum,700,Full
Corsair RM1000,440.0,ATX,gold,1000,Full
SeaSonic FOCUS,127.98,ATX,gold,650,Semi
Cooler Master XG850 Plus,202.02,ATX,platinum,850,Full
Corsair CX450 (2017),119.99,ATX,bronze,450,False
Corsair AX760,699.99,ATX,platinum,760,Full
Super Flower Leadex III Gold,114.99,ATX,gold,650,Full
Antec EARTHWATTS GOLD PRO 650,120.01,ATX,gold,650,Semi
Silverstone SX650-G,132.24,SFX,gold,650,Full
Deepcool DA500,81.59,ATX,bronze,500,False
Corsair RM550x,229.99,ATX,gold,550,Full
SeaSonic PRIME PX-1600 ATX 3.0,509.99,ATX,platinum,1600,Full
Cougar VTE X2,82.98,ATX,plus,750,False
Silverstone Strider Platinum,129.99,ATX,platinum,650,Full
SHARKOON SilentStorm Cool Zero 750,153.79,ATX,gold,750,Full
Corsair RM650,193.41,ATX,gold,650,Full
Silverstone SX-G,145.26,SFX,gold,700,Full
FSP Group Dagger Pro,177.84,SFX,gold,850,Full
Apevia ATX-JP1000W,94.84,ATX,bronze,1000,False
Enermax Revolution D.F.,119.99,ATX,gold,750,Full
Silverstone Essential,119.99,ATX,gold,650,False
Super Flower LEADEX VII XG,139.99,ATX,gold,850,Full
be quiet! Straight Power 11,129.49,ATX,platinum,550,Full
Enermax Revolution D.F.,122.98,ATX,gold,850,Full
FSP Group FSP400-60FGGBA,109.99,Flex ATX,gold,400,False
ADATA XPG PYLON,522.0,ATX,bronze,750,False
SeaSonic FOCUS Plus 550 Gold,207.99,ATX,gold,550,Full
Razer Katana Chroma,335.99,ATX,platinum,850,Full
Cooler Master XG750 Plus,157.65,ATX,platinum,750,Full
Cougar BXM750,74.99,ATX,bronze,750,Semi
CoolMax ZX-500,67.29,ATX,plus,500,False
Silverstone Strider Titanium,329.99,ATX,titanium,1100,Full
Corsair AX850,499.99,ATX,titanium,850,Full
Deepcool PX-G,159.99,ATX,gold,850,Full
Corsair VS500,179.99,ATX,plus,500,False
Corsair AX850,498.4,ATX,gold,850,Full
ADATA XPG CYBERCORE,199.99,ATX,platinum,1300,Full
SeaSonic SSP-300SUG,91.0,Flex ATX,gold,300,False
Thermaltake Thermaltake TP-750M,108.99,ATX,gold,750,Semi
SeaSonic PRIME Ultra Platinum 1000,390.31,ATX,platinum,1000,Full
Cougar VTE X2,59.99,ATX,plus,600,False
Super Flower Leadex V Pro,249.99,ATX,gold,1000,Full
Thermaltake Smart BX1 RGB 650,137.75,ATX,bronze,650,False
Super Flower LEADEX VII XG,184.99,ATX,gold,1300,Full
SeaSonic PRIME Ultra Titanium,429.0,ATX,titanium,850,Full
SeaSonic S12III,194.39,ATX,bronze,550,False
NZXT C (2019),129.99,ATX,gold,750,Full
Silverstone Essential,100.87,ATX,bronze,750,False
SeaSonic S12II,262.43,ATX,bronze,520,False
FSP Group FSP300-60LG,148.02,Mini ITX,bronze,300,False
Super Flower Leadex Platinum SE,249.99,ATX,platinum,1000,Full
In Win P85,133.91,ATX,gold,850,Full
Super Flower Leadex Platinum,699.99,ATX,platinum,1600,Full
