cpuName,price,cpuMark,cpuValue,threadMark,threadValue,TDP,powerPerf,cores,testDate,socket,category
Intel Core i5-7500T @ 2.70GHz,188.98,5319,28.15,1964,10.39,35.0,151.97,4,2017,LGA1151,Desktop
Intel Core i3-8100T @ 3.10GHz,262.83,5291,20.13,1922,7.31,35.0,151.18,4,2018,LGA1151,Desktop
Intel Core i5-4670R @ 3.00GHz,276.0,5233,18.96,2164,7.84,65.0,80.5,4,2018,FCBGA1364,Desktop
Intel Core i3-7320 @ 4.10GHz,177.19,4856,27.4,2499,14.1,51.0,95.21,2,2017,LGA1151,Desktop
Intel Core i3-7350K @ 4.20GHz,250.8,4819,19.22,2493,9.94,60.0,80.32,2,2017,LGA1151,Desktop
Intel Core i3-7300 @ 4.00GHz,299.99,4703,15.68,2423,8.08,51.0,92.23,2,2017,LGA1151,Desktop
AMD Athlon 240GE,138.0,4551,32.98,1986,14.39,35.0,130.03,2,2019,AM4,Desktop
Intel Pentium Gold G6605 @ 4.30GHz,124.25,4493,36.16,2658,21.39,58.0,77.47,2,2021,LGA1200,Desktop
AMD Athlon 3000G,54.99,4480,81.47,1999,36.36,35.0,128.01,2,2019,AM4,Desktop
Intel Pentium Gold G6600 @ 4.20GHz,107.35,4396,40.95,2577,24.0,58.0,75.8,2,2021,LGA1200,Desktop
Intel Pentium Gold G6505 @ 4.20GHz,75.0,4378,58.37,2652,35.35,58.0,75.48,2,2021,LGA1200,Desktop
Intel Core i3-7100 @ 3.90GHz,127.99,4342,33.92,2338,18.27,51.0,85.13,2,2017,LGA1151,Desktop
Intel Pentium Gold G6405 @ 4.10GHz,60.1,4285,71.29,2534,42.16,58.0,73.87,2,2021,LGA1200,Desktop
Intel Pentium Gold G5600F @ 3.90GHz,92.99,4160,44.74,2442,26.26,54.0,77.04,2,2019,LGA1151,Desktop
Intel Core i3-7300T @ 3.50GHz,181.59,4159,22.9,2128,11.72,35.0,118.82,2,2017,LGA1151,Desktop
Intel Pentium Gold G6500 @ 4.10GHz,96.99,4147,42.76,2491,25.69,58.0,71.5,2,2020,LGA1200,Desktop
AMD Athlon 200GE,123.89,4135,33.38,1817,14.67,35.0,118.15,2,2018,AM4,Desktop
Intel Pentium Gold G6400 @ 4.00GHz,74.63,4130,55.34,2484,33.29,58.0,71.21,2,2020,LGA1200,Desktop
Intel Pentium Gold G5620 @ 4.00GHz,159.99,4102,25.64,2424,15.15,54.0,75.97,2,2019,LGA1151,Desktop
